001 第一回　　生前業貪財好色　死後報寡婦孤兒
002 第二回　　寡婦避兵拋棄城居投野處　惡奴欺主勾通外賊劫家財
003 第三回　　楚雲娘驚惡夢舍胡珠　岑姑子留男尼念淫佛
004 第四回　　禍機深財未用時先喪命　天報速人才殺處早傷身
005 第五回　　銜冤賊婦激忿出首仇人贓　無義貪官負德妄刑恩主母
006 第六回　　白眼無情誰憐五歲孤兒　黃金尚在可惜四條貪命
007 第七回　　富室貧兒生埋金受報　前愆孽女死對案歸娼
008 第八回　　武女客乘高興林下結盟　文學官憐孤寡雪中送炭
009 第九回　　屠本赤掠賣故人兒　楚雲娘途逢舊僕婦
010 第十回　　南宮吉夢談今昔事　皮員外魂斷繡簾前
011 第十一回　　李師師鋪排風月好色貪財　沈子金賣俏行奸先娘後女
012 第十二回　　皮員外使憨錢買臭厭　沈子金涂假血慶新紅
013 第十三回　　看破了想提防一時催百輛　再難來拼不得半夜賦桃夭
014 第十四回　　薄倖郎見金先負義　癡心婦臨死尚思人
015 第十五回　　馬玉嬌美人局騙癡兒　沈子金浪蕩身落圈套
016 第十六回　　櫻桃女有義情戀主投江　千戶子無廉恥吹簫乞食
017 第十七回　　客船上萍蹤遇舊人　給孤寺烏棲食殘米
018 第十八回　　高秋岳君子心義送雲娘　宋狗腿小人情周全泰定
019 第十九回　　留高僧善士參禪　逢故主義僕得信
020 第二十回　　淮安城下萍飄寡婦泣窮途　青浦舟中星散離人驚會面
021 第二十一回　　花園營有女傷春　汴河橋無心遇舊
022 第二十二回　　老守備雙斧伐枯桑　俏佳人同牀泄邪火
023 第二十三回　　淫女奔鄰托風雨夜作良媒　書生避色指琉璃燈代明燭
024 第二十四回　　武城縣喬美傳書　齊王府寶兒得意
025 第二十五回　　皮員外冤恨訴從頭　李師師風流不到底
026 第二十六回　　青樓穢地鼎分三教堂　大覺正宗旁參百花法
027 第二十七回　　二美女誨淫游佛殿　一老尼惑眾念蓮經
028 第二十八回　　觀邪教女郎應亂性　鬧齋堂貧婿忽逢妻
029 第二十九回　　嚴父拜友窺破綻　浪子逢姣意著魔
030 第三十回　　風流子逢怨偶嚴親畢命　美姣女遇情郎慈母相依
031 第三十一回　　抱病懷春空房遭鬼魅　貪花懼內借館效鸞凰
032 第三十二回　　母夜叉強逞今世凶　袁玉奴夢訴前生恨
033 第三十三回　　侯瘸子思得妻忙忙告狀　丹桂姐因著鬼夜夜失魂
034 第三十四回　　小莫破大難容備嘗淫苦　人齷齪鬼風流悟入空門
035 第三十五回　　蓮淨女看破往因度香玉　侯瘸子參明宿業了殘生
036 第三十六回　　毛橘塘一服藥妄居富貴　胡員外百萬戶獻作人情
037 第三十七回　　小人有捷徑借財寶以投誠　奸惡無他能選美人而獻媚
038 第三十八回　　胡員外消眾怒細細分屍　毛橘塘泄公忿團團受箭
039 第三十九回　　董翠翠被騙烹雞　屠本赤喪明喂狗
040 第四十回　　月岩師破佛得珠　趙居士捐家造寺
041 第四十一回　　老寡婦痛無兒甘祝發　小孝子浪尋母忽遭擒
042 第四十二回　　兑環婦無意逢夫　訪主僕甘心獨宿
043 第四十三回　　小劫賊獻僧為佛寶　大因緣選婿贈絲鞭
044 第四十四回　　鴛鴦帳和尚婿談經　虎狼穴盜賊妻贈衲
045 第四十五回　　要尋消息貼鄉貫十方堂　誤聽姓名枉奔波甘露寺
046 第四十六回　　離別久母子當前全不識　緣法至主僕對面恰相逢
047 第四十七回　　宿孽償完兒見母　新緣另結客還家
048 第四十八回　　仁義不虧金藏大開佛法　孝慈具足蓮台現出人倫
